Customer_ID,cluster_kmeans,dist_to_centroid,Age,Gender,Married,Dependents,Contract,Tenure_in_Months,Offer,Payment_Method,Monthly_Charge,Total_Charges,Avg_Monthly_GB_Download,Total_Long_Distance_Charges,Total_Revenue,Internet_Service,Streaming_TV,Streaming_Movies,Streaming_Music,Premium_Tech_Support,Device_Protection_Plan,Online_Security,Online_Backup,Referred_a_Friend,Number_of_Referrals,Satisfaction_Score,Unlimited_Data,Paperless_Billing,tenure_bucket,avg_revenue_per_month,total_spend_ratio,is_high_spender,num_services,monthly_charge_x_tenure,log_total_revenue
4526-ZJJTM,2,1680.7194818155979,72,Female,1,0,Two Year,25,No Offer,Bank Withdrawal,88.4,2191.15,4,486.0,2677.15,1,0,1,1,0,1,0,1,1,1,3,1,0,24-48 Months,107.086,0.8184636647180771,1,5,2210.0,7.892881536631723
5302-BDJNT,2,1252.3150810111354,27,Male,0,0,Month-to-Month,35,No Offer,Bank Withdrawal,95.5,3418.2,59,1596.7,5014.9,1,1,0,0,1,1,0,0,0,0,3,1,0,24-48 Months,143.28285714285713,0.6816088057588386,1,4,3342.5,8.520368145909881
5468-BPMMO,0,814.0030898737427,59,Male,1,0,Month-to-Month,46,No Offer,Bank Withdrawal,19.6,851.2,0,739.22,1590.42,0,0,0,0,0,0,0,0,1,3,5,0,0,24-48 Months,34.57434782608696,0.5352045371662831,0,0,901.6,7.3723819784150475
2212-LYASK,0,882.386664616577,25,Male,1,0,One Year,27,No Offer,Credit Card,45.85,1246.4,27,0.0,1276.4,1,0,1,1,0,1,0,1,1,3,4,0,1,24-48 Months,47.27407407407408,0.9764963961140708,0,5,1237.95,7.152582041127489
0378-XSZPU,2,1024.253226998742,31,Male,1,0,One Year,58,Offer B,Credit Card,60.3,3563.8,21,998.76,4562.56,1,0,0,0,0,1,1,1,1,1,2,1,0,48+ Months,78.6648275862069,0.7810965773600785,0,4,3497.3999999999996,8.425858299673722
6023-YEBUP,0,671.8296021727183,32,Male,0,0,Month-to-Month,3,Offer E,Bank Withdrawal,100.95,329.95,30,35.82,375.77,1,1,1,1,0,1,0,0,0,0,1,0,1,0-12 Months,125.25666666666666,0.8780637091838093,1,5,302.85,5.931634921698145
7030-NJVDP,2,1886.7916813259865,36,Male,1,0,Month-to-Month,24,No Offer,Bank Withdrawal,89.25,2210.2,8,245.52,2455.72,1,0,1,1,1,0,1,0,1,2,3,1,1,24-48 Months,102.32166666666666,0.9000211750525304,1,5,2142.0,7.806582405913272
7549-MYGPK,1,775.7974854291269,48,Female,1,0,Month-to-Month,63,Offer B,Bank Withdrawal,100.55,6215.35,16,565.74,6781.09,1,1,0,0,0,1,1,1,1,3,2,0,1,48+ Months,107.63634920634921,0.9165709347612258,1,5,6334.65,8.822040593019237
2469-DTSGX,1,4292.4913308163505,72,Female,0,0,Two Year,72,Offer A,Bank Withdrawal,111.65,7943.45,14,3226.32,11169.77,1,1,1,0,1,1,0,1,0,0,5,1,0,48+ Months,155.13569444444445,0.7111560936348734,1,6,8038.8,9.321055824333737
3090-LETTY,0,1008.8865724557418,54,Male,0,1,Month-to-Month,2,No Offer,Bank Withdrawal,60.95,134.6,12,29.76,164.36,1,0,0,0,0,0,1,1,0,0,4,1,0,0-12 Months,82.18,0.8189340472134338,0,3,121.9,5.108124915373513
